Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity,File
2011-10-01,2393,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,8855,3.700376096949436,1.0,10934,4.56916005014626,1.0,,,,,,,,,62388.58410801626,0.714683182046513,152242.71974276935,0.4627818943928333,33366.0857768813,0.101425016647026,70468.82989540338,0.214208591712905,236088.5858595917,0.7176535153420105,236088.5858595917,0.7176535153420105,44240.362479463714,0.1344802483262535,105748.33581638215,0.3214499534735167,91654.208,789045.6882762223,91652.88599991798,952.034,4390.765591307982,49409.27654986523,1.3120179593198342,31738,2393,23,8.693689928959465,0.2351500208942749,0.831758034026465,0.2655064948649708,3,13.262849979105724,75,0.4262432093606352,0.8101141010046624,6390,23944,BPI_Challenge_2012_metrics.csv
2011-11-01,3621,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,16017,4.423363711681856,2.0,19570,5.404584368958851,2.0,,,,,,,,,105568.780999283,0.7182616556392746,255323.8864618804,0.4579535093100022,83772.17055717777,0.1502552699663032,131640.7466975129,0.2361132080265261,403344.4352473683,0.7234458246027472,403344.4352473683,0.7234458246027472,122937.65068565524,0.220503178680184,203067.7995202806,0.3642260530608703,258640.211,934562.0153587408,258638.7940001488,1068.543,4840.114990886495,139428.68517520218,3.7024006779292815,51398,3621,23,8.789837061585198,0.2149165976249654,0.8241965973534972,0.2637881633802524,3,14.194421430544049,96,0.4203258768296051,0.7995362563760128,9796,38578,BPI_Challenge_2012_metrics.csv
2011-12-01,2825,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,15569,5.511150442477876,3.0,19310,6.835398230088496,3.0,,,,,,,,,104245.38062148562,0.7073129365263793,235883.77314316184,0.4740805426880949,121104.87012786452,0.2433972536022818,146451.85535180135,0.2943397680039744,353535.1214636402,0.7105368886102325,353535.1214636402,0.7105368886102325,172796.62218199504,0.3472876295267313,214072.8236324775,0.4302447728816986,862204.807,1215916.5668644249,862198.5390000343,1519.3069999999998,5653.057347964602,464800.4350404313,12.342348661131757,46314,2825,23,9.558938053097345,0.2728378761061947,0.8223062381852552,0.2611832704429527,3,16.39433628318584,96,0.4934513274336283,0.7916566538654396,8841,36474,BPI_Challenge_2012_metrics.csv
2012-01-01,3392,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,16869,4.9731721698113205,2.0,21640,6.379716981132075,3.0,,,,,,,,,121086.30772693692,0.7107654158865989,277885.8560088561,0.4810798664387768,173522.0927603147,0.3004038651274458,192531.2997475494,0.333312869169143,414205.7216131966,0.7170787174770898,414205.7216131966,0.7170787174770898,249343.20287398683,0.4316664275716557,280552.85725947696,0.4856970161702113,775858.4554999999,1159300.3612231722,775941.9370000362,1325.663,5087.749456367925,418252.5366576819,11.10631197103518,53092,3392,23,9.27240566037736,0.2604643278301887,0.8204158790170133,0.2580125655244651,3,15.652122641509434,96,0.4660966981132076,0.8028308706934452,10234,41193,BPI_Challenge_2012_metrics.csv
2012-02-01,3739,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,17428,4.661139342070072,2.0,22282,5.959347419096015,3.0,,,,,,,,,119472.12718939924,0.71723095027248,282605.2526754884,0.4564903535114598,215031.96706859043,0.3473396822391025,224538.13140891196,0.3626949252120078,447831.7356130845,0.7233795740463912,447831.7356130845,0.7233795740463912,333278.780325142,0.5383429600411241,350034.0064246965,0.5654075634514961,748871.546,1022125.0043805832,748869.0999999046,1364.367,4875.113153784434,403704.3374663073,10.719997903158024,56572,3739,23,9.170901310510832,0.2340438619951858,0.8260869565217391,0.2656138457032123,3,15.130248729606846,88,0.479005081572613,0.8035495094141415,10919,41381,BPI_Challenge_2012_metrics.csv
2012-03-01,904,"['A_ACCEPTED', 'A_ACTIVATED', 'A_APPROVED', 'A_CANCELLED', 'A_DECLINED', 'A_FINALIZED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_REGISTERED', 'A_SUBMITTED', 'O_ACCEPTED', 'O_CANCELLED', 'O_CREATED', 'O_DECLINED', 'O_SELECTED', 'O_SENT', 'O_SENT_BACK', 'W_Afhandelen leads', 'W_Beoordelen fraude', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Nabellen offertes', 'W_Valideren aanvraag']",23,7066,7.816371681415929,6.0,8947,9.89712389380531,8.0,,,,,,,,,44456.01702884525,0.6771574034398439,92629.83276308564,0.4687980726882013,70115.97039429858,0.3548557824732404,73668.18621769363,0.3728334888136945,133773.94445793767,0.6770277508562199,133773.94445793767,0.6770277508562199,96796.13305312708,0.489883650497752,102981.93960159944,0.5211899165401706,1473188.2485,1741005.4886957963,1473594.4570000172,2583.592,7064.770847345133,794171.5625336927,21.088496444057768,19956,904,23,12.178097345132745,0.0472079646017699,0.8393194706994329,0.3865733279071681,4,22.07522123893805,82,0.8495575221238938,0.7872706837502171,4071,15890,BPI_Challenge_2012_metrics.csv
2012-12-01,629,"['BILLED', 'CHANGE DIAGN', 'CHANGE END', 'CODE NOK', 'CODE OK', 'DELETE', 'FIN', 'JOIN-PAT', 'MANUAL', 'NEW', 'REJECT', 'RELEASE', 'REOPEN', 'SET STATUS', 'STORNO']",15,33,0.0524642289348171,0.0,222,0.3529411764705882,0.0,,,,,,,,,619.7251003921388,0.6500594989737893,6705.339031774556,0.2602659672261139,951.4394729714296,0.0369298723773075,2938.2973128476174,0.1140492357660534,20023.906441293893,0.7791422242069584,20077.152467323187,0.7792893813858562,2658.296855751464,0.1031810918221672,8559.540844202631,0.332236321872938,16239836.0,16433265.389507154,16239836.0,0.0,0.0,,1.8362377144534452,3193,629,15,4.723370429252782,986276.13740458,0.8355555555555556,0.4132758578358144,1,5.076311605723371,25,0.0794912559618442,0.6224077310780824,650,360,Hospital_Billing_metrics.csv
2013-01-01,2997,"['BILLED', 'CHANGE DIAGN', 'CHANGE END', 'CODE NOK', 'CODE OK', 'DELETE', 'FIN', 'JOIN-PAT', 'MANUAL', 'NEW', 'REJECT', 'RELEASE', 'REOPEN', 'SET STATUS', 'STORNO']",15,214,0.0714047380714047,0.0,977,0.3259926593259926,0.0,,,,,,,,,2018.356084213246,0.6996925762270674,28384.57508325008,0.1941037642887741,4174.765440268483,0.0285485227311709,12415.728536990966,0.0849031432864261,119041.53828935492,0.8161239702592414,119362.35051934051,0.8162419723461742,16283.195744363957,0.111350252007017,50900.67002875917,0.3480767856635346,15402733.0,16172875.591925258,15402733.0,0.0,0.0,,1.7415865061849554,15188,2997,15,4.741741741741742,1069279.274117647,0.7066666666666667,0.411770255383635,1,5.067734401067734,33,0.0437103770437103,0.6246893201359778,2498,1054,Hospital_Billing_metrics.csv
2013-02-01,5486,"['BILLED', 'CHANGE DIAGN', 'CHANGE END', 'CODE ERROR', 'CODE NOK', 'CODE OK', 'DELETE', 'FIN', 'JOIN-PAT', 'MANUAL', 'NEW', 'REJECT', 'RELEASE', 'REOPEN', 'SET STATUS', 'STORNO']",16,514,0.0936930368209989,0.0,1944,0.3543565439300036,0.0,,,,,,,,,3621.8306586001313,0.7141022274449531,56616.47826378558,0.1867642714668565,9122.787187400496,0.0300939011936364,24999.88229507161,0.082468654829468,249932.76213473437,0.8256371075506826,250305.5283069164,0.8256982961843825,37636.50397597381,0.1241538587561416,108108.49031450918,0.3566241499320872,14783665.0,16652866.324462269,14784103.0,0.0,0.0,,1.6715885080887145,29458,5486,16,5.015311702515494,1015605.275945782,0.6875,0.4645832389387536,1,5.369668246445498,33,0.0359095880422894,0.6228886389656684,4435,1744,Hospital_Billing_metrics.csv
2013-03-01,8015,"['BILLED', 'CHANGE DIAGN', 'CHANGE END', 'CODE ERROR', 'CODE NOK', 'CODE OK', 'DELETE', 'FIN', 'JOIN-PAT', 'MANUAL', 'NEW', 'REJECT', 'RELEASE', 'REOPEN', 'SET STATUS', 'STORNO']",16,1295,0.1615720524017467,0.0,3530,0.4404242046163443,0.0,,,,,,,,,5539.21019089969,0.6800838297826176,89140.32265631166,0.1867774815326703,15141.486422226595,0.0317262560458587,39609.00691991427,0.0829935357877894,394488.3410267216,0.8277973033803783,395103.2421148849,0.8278676395657615,63978.14034050058,0.1340546631406694,172549.1275350252,0.3615456004788154,14291299.0,16903256.645414848,14291299.0,0.0,0.0,,1.6159167009033104,44582,8015,16,5.121896444167186,969131.6973470493,0.65625,0.4870710281667539,1,5.562320648783531,176,0.0341859014348097,0.6289092636307512,6449,2989,Hospital_Billing_metrics.csv
