Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity
2017-01-01,58,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",11,0,0,0.0,12,0.20689655172413793,0.0,2,1.9310344827586208,2.0,54,0.9310344827586207,1.0,27.0,27.0,63.655736557568446,0.551682408790982,325.17189827597434,0.2141861574105209,49.469551616987786,0.032584898098025186,149.05029891629823,0.09817733621826391,1092.6250590656628,0.7196967638731804,1092.6250590656628,0.7196967638731804,122.45375912104937,0.08065856940796094,461.68514073840777,0.30410551081622,575072.5,1305426.948275862,609226.0,0.0,0.0,,0.816438151959027,271,58,11,4.4655172413793105,1310.9137931034484,0.8760330578512396,0.618545231067917,3,4.672413793103448,8,0.13793103448275862,0.5809731045270086,88,43
2017-02-01,88,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",11,0,0,0.0,16,0.18181818181818182,0.0,2,1.8636363636363635,2.0,76,0.8636363636363636,1.0,38.0,38.0,62.43198185679382,0.5864712879465138,608.2428585186517,0.25014364890250224,151.81516313890114,0.06243492765172988,289.63860486333107,0.11911567307176524,1801.7703167530235,0.7409892203493876,1801.7703167530235,0.7409892203493876,436.96104882476686,0.17970294209042467,855.7543191601189,0.351934272570213,606517.5,1078429.1136363635,611653.0,0.0,0.0,,0.8610810407919162,405,88,11,4.420454545454546,5781.670454545455,0.8760330578512396,0.5415721251928148,3,4.6022727272727275,8,0.11363636363636363,0.6052303818106384,121,50
2017-03-01,103,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",12,0,0,0.0,20,0.1941747572815534,0.0,2,1.8640776699029127,2.0,89,0.8640776699029126,1.0,44.5,44.5,87.0861799754041,0.5384611127117723,729.3393195363931,0.2509689291394649,298.33442873864783,0.10265821422265496,406.60482492355493,0.13991454287541982,2164.6975727695317,0.7448821381165912,2164.6975727695317,0.7448821381165912,888.6450475071503,0.3057867442272593,1210.8694571281787,0.4166656079591503,627938.0,1007906.9029126214,627938.0,0.0,0.0,,0.8914920123373097,472,103,12,4.388349514563107,8213.39,0.8958333333333334,0.4783438186493582,1,4.58252427184466,10,0.13592233009708737,0.6042299071336799,142,56
2017-04-01,89,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",9,0,0,0.0,10,0.11235955056179775,0.0,2,1.9438202247191012,2.0,84,0.9438202247191011,1.0,42.0,42.0,55.98365518681781,0.5258972306321832,571.7076089327057,0.23444289448419078,364.98186609919424,0.14966987282586328,401.69817113424733,0.1647263049822447,1812.3083250811933,0.7431820091095598,1812.3083250811933,0.7431820091095598,1109.9082321134977,0.4551454178374389,1237.8289893944614,0.5076024992772782,674133.0,1073106.370786517,674133.0,0.0,0.0,,0.9570756742751476,406,89,9,4.449438202247191,1946.8988764044943,0.8518518518518519,0.6159586434165089,2,4.561797752808989,8,0.10112359550561796,0.5703243628290733,112,43
2017-05-01,114,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",10,0,0,0.0,18,0.15789473684210525,0.0,2,1.868421052631579,2.0,99,0.868421052631579,1.0,49.5,49.5,83.03883633096306,0.5627646373640371,803.2457425639864,0.24922369311223633,307.4137817160385,0.09538151767641255,435.0353562830437,0.13497876475656623,2424.7140119552882,0.7523179380590941,2424.7140119552882,0.7523179380590941,906.5160485730281,0.28126545279869236,1301.1028286954352,0.4036942057746703,680882.5,1305147.0526315789,682512.0,0.0,0.0,,0.966658030076629,516,114,10,4.368421052631579,2466.433628318584,0.87,0.5191890123538936,1,4.526315789473684,9,0.11403508771929824,0.595727442086832,145,54
2017-06-01,120,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",10,0,0,0.0,17,0.14166666666666666,0.0,2,1.8833333333333333,2.0,106,0.8833333333333333,1.0,53.0,53.0,89.04260130162288,0.5672149098952798,858.9624796839033,0.2512078065197529,414.1969486510779,0.12113393704472637,513.4199735033692,0.1501521992144216,2582.44079350737,0.7552475254132728,2582.44079350737,0.7552475254132728,1241.759681264073,0.36315873292836787,1541.887944324851,0.45093272122390615,712208.0,1388387.7583333333,715415.0,0.0,0.0,,1.0111312631545322,543,120,10,4.383333333333334,6509.322033898305,0.86,0.5450131163576541,1,4.525,9,0.11666666666666665,0.5830675193575034,152,58
2017-07-01,115,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",12,0,0,0.0,32,0.2782608695652174,0.0,2,1.9043478260869566,2.0,104,0.9043478260869565,1.0,52.0,52.0,87.3588571175248,0.5920419615508166,909.9264852886904,0.2707298555261524,353.32386892682155,0.10512422875365722,497.98263222376875,0.14816445971863357,2516.226823752238,0.7486513861054876,2516.226823752238,0.7486513861054876,933.6798183309994,0.2777971697837087,1351.7701506313902,0.40219132369676297,878482.0,1898290.2173913044,878482.0,0.0,0.0,,1.247192694154685,535,115,12,4.373913043478261,5123.265486725663,0.8888888888888888,0.5356687612751684,1,4.6521739130434785,10,0.11304347826086956,0.5928571428571419,149,56
2017-08-01,98,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",12,0,0,0.0,39,0.3979591836734694,0.0,2,1.8877551020408163,2.0,87,0.8877551020408163,1.0,43.5,43.5,102.65070919307334,0.5828535308680262,973.234792749312,0.3276231610865444,432.09528297193486,0.14545762600404144,561.0209180220966,0.18885827753737003,2181.966760136624,0.7345224941273371,2181.966760136624,0.7345224941273371,953.8197583473321,0.32108741555959724,1249.5195907525808,0.42062980198794914,1568841.5,2426675.5918367347,1574675.0,0.0,0.0,,2.227305348415422,481,98,12,4.510204081632653,10130.103092783505,0.8888888888888888,0.4828414893426464,1,4.908163265306122,10,0.17346938775510204,0.61881392077652,141,68
2017-09-01,162,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",11,0,0,0.0,20,0.12345679012345678,0.0,2,1.9259259259259258,2.0,150,0.9259259259259259,1.0,75.0,75.0,75.90965383849459,0.568169179011575,1155.2232037288309,0.23160414464046863,617.2749426709195,0.12375395044337326,727.8507097612597,0.14592265850970934,3812.4284494435765,0.7643321456721976,3812.4284494435765,0.7643321456721976,2059.386758362991,0.41287476490692687,2416.658607707617,0.484502170593113,545755.5,1386553.7160493827,545994.0,0.0,0.0,,0.774816413306974,753,162,11,4.5246913580246915,6120.006172839506,0.8677685950413223,0.5456544256636275,3,4.648148148148148,8,0.06790123456790123,0.590544181907461,188,49
2017-10-01,158,"['Payment Handled', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",10,0,0,0.0,11,0.06962025316455696,0.0,2,1.9303797468354431,2.0,147,0.930379746835443,1.0,73.5,73.5,59.026820513606424,0.5544840067612782,953.0879440567973,0.20314728966501605,621.0962291867133,0.1323844419260888,673.9563932784911,0.1436513970202692,3597.609325837176,0.7668175726854591,3597.609325837176,0.7668175726854591,2344.167651246319,0.49965095859267056,2544.375745562814,0.5423245985049283,542999.0,899679.006329114,543109.0,0.0,0.0,,0.7709029732348526,714,158,10,4.449367088607595,5920.166666666667,0.88,0.5871827284489545,1,4.518987341772152,8,0.0759493670886076,0.5688303084229713,174,43
